
Data acquisition started.
.....................................................................................................alpha power: 4.49E-02
.........................alpha power: 4.06E-02
.........................alpha power: 2.54E-02
.........................alpha power: 2.35E-02
.........................alpha power: 1.62E-02
.........................alpha power: 1.69E-02
.........................alpha power: 1.85E-02
.........................alpha power: 1.66E-02
.........................alpha power: 8.93E-02
.........................alpha power: 1.12E-01
.........................alpha power: 1.65E-01
.........................alpha power: 1.20E-01
.........................alpha power: 2.71E-02
.........................alpha power: 2.99E-02
.........................alpha power: 2.75E-02
.........................alpha power: 6.93E-02
.........................alpha power: 6.79E-02
.........................alpha power: 2.72E-02
.........................alpha power: 2.28E-02
.........................alpha power: 2.38E-02
.........................alpha power: 1.98E-02
.........................alpha power: 1.82E-02
.........................alpha power: 2.33E-02
.........................alpha power: 3.20E-02
.........................alpha power: 4.20E-02
.........................alpha power: 4.45E-02
.........................alpha power: 4.57E-02
.........................alpha power: 4.88E-02
.........................alpha power: 5.23E-02
.........................alpha power: 5.44E-02
.........................alpha power: 6.82E-02
.........................alpha power: 6.89E-02
.........................alpha power: 7.53E-02
.........................alpha power: 7.59E-02
.........................alpha power: 7.04E-02
.........................alpha power: 6.10E-02
.........................alpha power: 4.46E-02
.........................alpha power: 4.08E-02
.........................alpha power: 3.86E-02
.........................alpha power: 3.67E-02
.........................alpha power: 4.85E-02
.........................alpha power: 6.03E-02
.........................alpha power: 5.91E-02
.........................alpha power: 4.13E-02
.........................alpha power: 3.86E-02
.........................alpha power: 4.72E-02
.........................alpha power: 4.24E-02
.........................alpha power: 4.14E-02
.........................alpha power: 3.46E-02
.........................alpha power: 3.21E-02
.........................alpha power: 2.69E-02
.........................alpha power: 2.82E-02
.........................alpha power: 2.73E-02
.........................alpha power: 3.16E-02
.........................alpha power: 3.22E-02
.........................alpha power: 4.07E-02
